날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2021-05-01,108 ,10 ,9 ,15 
2021-05-02,108 ,12 ,7 ,19 
2021-05-03,108 ,14 ,8 ,20 
2021-05-04,108 ,14 ,11 ,16 
2021-05-05,108 ,14 ,10 ,18 
2021-05-06,108 ,16 ,8 ,23 
2021-05-07,108 ,14 ,11 ,17 
2021-05-08,108 ,14 ,9 ,21 
2021-05-09,108 ,16 ,10 ,22 
2021-05-10,108 ,13 ,12 ,15 
2021-05-11,108 ,19 ,9 ,26 
2021-05-12,108 ,22 ,17 ,28 
2021-05-13,108 ,23 ,17 ,30 
2021-05-14,108 ,24 ,18 ,31 
2021-05-15,108 ,22 ,21 ,26 
2021-05-16,108 ,18 ,15 ,21 
2021-05-17,108 ,15 ,14 ,17 
2021-05-18,108 ,18 ,14 ,25 
2021-05-19,108 ,20 ,12 ,27 
2021-05-20,108 ,19 ,16 ,23 
2021-05-21,108 ,16 ,14 ,18 
2021-05-22,108 ,19 ,14 ,24 
2021-05-23,108 ,20 ,14 ,25 
2021-05-24,108 ,19 ,16 ,25 
2021-05-25,108 ,15 ,12 ,19 
2021-05-26,108 ,18 ,12 ,23 
2021-05-27,108 ,16 ,14 ,19 
2021-05-28,108 ,15 ,12 ,20 
2021-05-29,108 ,15 ,13 ,19 
2021-05-30,108 ,18 ,11 ,26 
2021-05-31,108 ,20 ,17 ,24 
